"namedLocation","uid","domainID","siteID","plotID","pointID","startDate","endDate","sampleID","subsampleID","cameraOrientation","cameraPosition","imageType","imageFileName","imageFileUrl","remarks","publicationDate","release","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"BART_047.basePlot.dhp","e96465b1-6a6b-4f7a-8d42-de2eeba33aee","D01","BART","BART_047","N10","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.N10.UNDERSTORY","downward","shoulder","understory","D01_2091.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2091.NEF","","20201217T184546Z","RELEASE-2021","19N",4881650.29134,316531.60184,2.12,44.065057961983,-71.2908584712457,"262.9",2.21
"BART_047.basePlot.dhp","be1cdd76-360d-4bd6-b5c8-869265ef4ebe","D01","BART","BART_047","E2","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.E2.OVERSTORY","upward","shoulder","overstory","D01_2021.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/overstory/D01_2021.NEF","","20201217T184546Z","RELEASE-2021","19N",4881640.29134,316533.60184,2.12,44.0649685005811,-71.2908300470474,"262.9",2.21
"BART_047.basePlot.dhp","542385e5-8411-45ba-b635-d6c71a9c677f","D01","BART","BART_047","E2","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.E2.UNDERSTORY","downward","shoulder","understory","D01_2092.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2092.NEF","","20201217T184546Z","RELEASE-2021","19N",4881640.29134,316533.60184,2.12,44.0649685005811,-71.2908300470474,"262.9",2.21
"BART_047.basePlot.dhp","9126c659-3087-4371-967d-2741b668fca0","D01","BART","BART_047","S6","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.S6.UNDERSTORY","downward","shoulder","understory","D01_2096.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2096.NEF","","20201217T184546Z","RELEASE-2021","19N",4881634.29134,316531.60184,2.12,44.0649140228083,-71.2908529173056,"262.9",2.21
"BART_047.basePlot.dhp","12eeb47d-b296-4b71-8c77-189ccf127bce","D01","BART","BART_047","N2","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.N2.UNDERSTORY","downward","shoulder","understory","D01_2089.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2089.NEF","","20201217T184546Z","RELEASE-2021","19N",4881642.29134,316531.60184,2.12,44.0649859923962,-71.2908556942705,"262.9",2.21
"BART_047.basePlot.dhp","fd6471a5-b833-47aa-b52c-2be48e03871a","D01","BART","BART_047","W6","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.W6.UNDERSTORY","downward","shoulder","understory","D01_2099.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2099.NEF","","20201217T184546Z","RELEASE-2021","19N",4881640.29134,316525.60184,2.12,44.0649664982213,-71.290929858967,"262.9",2.21
"BART_047.basePlot.dhp","1667841a-89ae-4b47-807d-b8bf7889cbcf","D01","BART","BART_047","W10","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.W10.UNDERSTORY","downward","shoulder","understory","D01_2100.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2100.NEF","","20201217T184546Z","RELEASE-2021","19N",4881640.29134,316521.60184,2.12,44.0649654970087,-71.290979764923,"262.9",2.21
"BART_047.basePlot.dhp","d03da766-68a7-4b27-aac4-4c6605c0fd82","D01","BART","BART_047","S6","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.S6.OVERSTORY","upward","shoulder","overstory","D01_2025.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/overstory/D01_2025.NEF","","20201217T184546Z","RELEASE-2021","19N",4881634.29134,316531.60184,2.12,44.0649140228083,-71.2908529173056,"262.9",2.21
"BART_047.basePlot.dhp","334aea11-fb42-4821-85ab-44d9154e5da2","D01","BART","BART_047","E10","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.E10.UNDERSTORY","downward","shoulder","understory","D01_2094.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2094.NEF","","20201217T184546Z","RELEASE-2021","19N",4881640.29134,316541.60184,2.12,44.0649705028537,-71.2907302351174,"262.9",2.21
"BART_047.basePlot.dhp","a587766a-3fd5-497d-aaa0-dfd1846bc593","D01","BART","BART_047","S10","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.S10.OVERSTORY","upward","shoulder","overstory","D01_2026.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/overstory/D01_2026.NEF","","20201217T184546Z","RELEASE-2021","19N",4881630.29134,316531.60184,2.12,44.0648780380139,-71.290851528827,"262.9",2.21
"BART_047.basePlot.dhp","dcf2029b-17c0-47c6-a083-844682031732","D01","BART","BART_047","E6","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.E6.UNDERSTORY","downward","shoulder","understory","D01_2093.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2093.NEF","","20201217T184546Z","RELEASE-2021","19N",4881640.29134,316537.60184,2.12,44.0649695017283,-71.2907801410837,"262.9",2.21
"BART_047.basePlot.dhp","cf12975e-730f-4c7b-9dd3-ff795580d97c","D01","BART","BART_047","S10","2016-05-17T08:44Z","2016-05-17T08:49Z","DHP.2016.01.BART047","DHP.2016.01.BART047.S10.UNDERSTORY","downward","shoulder","understory","D01_2097.NEF","https://s3.data.neonscience.org/neon-dhp-images/D01/2016/BART01/BART_047/understory/D01_2097.NEF","","20201217T184546Z","RELEASE-2021","19N",4881630.29134,316531.60184,2.12,44.0648780380139,-71.290851528827,"262.9",2.21
